id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_guru,satuan,tahun_ajaran
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,6276,ORANG,2017/2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7481,ORANG,2017/2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6975,ORANG,2017/2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,8751,ORANG,2017/2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,8926,ORANG,2017/2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4514,ORANG,2017/2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,6168,ORANG,2017/2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,11559,ORANG,2017/2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9304,ORANG,2017/2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7645,ORANG,2017/2018
73,32,JAWA BARAT,3271,KOTA BOGOR,1729,ORANG,2017/2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,2994,ORANG,2017/2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,4389,ORANG,2017/2018
76,32,JAWA BARAT,3274,KOTA CIREBON,6448,ORANG,2017/2018
77,32,JAWA BARAT,3275,KOTA BEKASI,10313,ORANG,2017/2018
78,32,JAWA BARAT,3276,KOTA DEPOK,2056,ORANG,2017/2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,10963,ORANG,2017/2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,948,ORANG,2017/2018
81,32,JAWA BARAT,3279,KOTA BANJAR,1542,ORANG,2017/2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,18320,ORANG,2018/2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8955,ORANG,2018/2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,11222,ORANG,2018/2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,14044,ORANG,2018/2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,6164,ORANG,2018/2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12024,ORANG,2018/2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,8132,ORANG,2018/2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6186,ORANG,2018/2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,6119,ORANG,2018/2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6133,ORANG,2018/2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,8664,ORANG,2018/2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,7251,ORANG,2018/2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,7549,ORANG,2018/2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4487,ORANG,2018/2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8911,ORANG,2018/2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,12967,ORANG,2018/2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6808,ORANG,2018/2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2288,ORANG,2018/2019
100,32,JAWA BARAT,3271,KOTA BOGOR,10107,ORANG,2018/2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,4443,ORANG,2018/2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,1537,ORANG,2018/2019
103,32,JAWA BARAT,3274,KOTA CIREBON,1783,ORANG,2018/2019
104,32,JAWA BARAT,3275,KOTA BEKASI,10975,ORANG,2018/2019
105,32,JAWA BARAT,3276,KOTA DEPOK,6312,ORANG,2018/2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,2005,ORANG,2018/2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2997,ORANG,2018/2019
108,32,JAWA BARAT,3279,KOTA BANJAR,928,ORANG,2018/2019
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,18501,ORANG,2019/2020
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,8755,ORANG,2019/2020
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10749,ORANG,2019/2020
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,13733,ORANG,2019/2020
113,32,JAWA BARAT,3205,KABUPATEN GARUT,11637,ORANG,2019/2020
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,7917,ORANG,2019/2020
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5902,ORANG,2019/2020
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6079,ORANG,2019/2020
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,8571,ORANG,2019/2020
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6163,ORANG,2019/2020
